record_timestamp,machineNo,machine_identifier,machine_serial,screen_saver,language_setting,machine_drive_lr,length_unit_of_measure,weight_unit_of_measure,count_unit_of_measure,yarn_clearer_type,machine_mode,sensor_negtive_pressure,cleaning_fan_interval,cleaning_fan_rounds,tube_conveyor_method,tube_conveyor_interval,tube_conveyor_interval_count,package_unload_belt,division_amount,position_amount,group_amount,day_of_week,class_amount
2015-10-15 16:19:19.260,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,4,3
2015-10-15 16:21:00.080,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,4,3
2015-10-15 16:23:45.257,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,4,3
2015-10-15 16:36:55.340,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,4,3
2015-10-15 16:45:43.413,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,4,3
2015-10-15 16:47:24.430,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,4,3
2015-10-16 01:54:34.497,7,1,0,2,0,0,0,0,1,0,5,45,0,0,0,0.1,1,1,1,60,1,5,3
2015-10-16 03:37:41.280,7,1,0,2,0,0,0,0,1,0,5,45,0,0,0,0.1,1,1,1,60,1,5,3
2015-10-16 03:58:53.527,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,5,3
2015-10-16 08:12:21.767,4,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,5,3
2015-10-16 08:14:01.510,4,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,5,3
2015-10-16 08:19:59.550,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,5,3
2015-10-16 08:31:25.750,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,5,3
2015-10-16 08:42:51.130,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,5,3
2015-10-16 10:39:35.460,7,1,0,2,0,0,0,0,1,0,5,45,0,0,0,0.1,1,1,1,60,1,5,3
2015-10-16 13:34:41.213,2,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,5,3
2015-10-16 13:35:14.713,7,1,0,2,0,0,0,0,1,0,5,45,0,0,0,0.1,1,1,1,60,1,5,3
2015-10-16 13:35:48.357,9,9,201502,1,0,1,0,0,1,0,5,47,0,0,0,0.1,1,1,1,60,1,5,3
2015-10-16 13:36:22.087,8,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,5,3
2015-10-16 13:36:55.790,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,5,3
2015-10-16 13:37:29.450,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,5,3
2015-10-16 13:38:03.087,4,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,5,3
2015-10-16 13:38:36.740,5,1,0,1,0,1,0,0,1,0,5,40,0,0,0,0.1,1,2,1,60,1,5,3
2015-10-16 14:25:08.690,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,5,3
2015-10-16 15:05:47.260,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,5,3
2015-10-16 22:30:05.607,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,5,3
2015-10-17 01:37:11.580,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,6,3
2015-10-17 02:01:25.627,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,6,3
2015-10-17 03:04:33.430,9,9,201502,1,0,1,0,0,1,0,5,47,0,0,0,0.1,1,1,1,60,1,6,3
2015-10-17 08:12:38.667,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,6,3
2015-10-17 09:10:20.850,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,6,3
2015-10-17 09:58:21.253,7,1,0,2,0,0,0,0,1,0,5,45,0,0,0,0.1,1,1,1,60,1,6,3
2015-10-17 10:11:20.043,7,1,0,2,0,0,0,0,1,0,5,45,0,0,0,0.1,1,1,1,60,1,6,3
2015-10-17 10:15:12.677,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,6,3
2015-10-17 10:41:21.963,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,6,3
2015-10-17 10:45:47.290,8,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,6,3
2015-10-17 10:52:51.923,4,1,0,1,0,0,0,0,1,0,5,45,0,0,0,0.1,1,2,1,60,1,6,3
2015-10-17 15:15:04.370,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,6,3
2015-10-17 15:22:44.330,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,6,3
2015-10-17 15:58:21.213,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,6,3
2015-10-17 16:00:00.120,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,6,3
2015-10-17 16:01:41.773,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,6,3
2015-10-17 16:02:16.420,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,6,3
2015-10-17 16:06:38.050,9,9,201502,1,0,1,0,0,1,0,5,47,0,0,0,0.1,1,1,1,60,1,6,3
2015-10-17 16:07:12.570,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,6,3
2015-10-17 16:46:45.807,8,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,6,3
2015-10-17 16:47:17.300,6,1,0,1,0,0,0,0,1,0,5,38,0,0,0,0.1,1,0,1,60,1,6,3
2015-10-17 16:47:49.470,10,1,0,1,0,0,0,0,1,0,5,46,3,3,0,0.1,1,1,1,60,1,6,3
2015-10-17 16:48:22.767,9,9,201502,1,0,1,0,0,1,0,5,47,0,0,0,0.1,1,1,1,60,1,6,3
2015-10-17 16:49:50.200,8,1,0,1,0,0,0,0,1,0,5,55,0,0,0,0.1,1,2,1,60,1,6,3
